Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2020,42,KBR,"Stuart Bradie, President and CEO",U.S.,2852.62,2425.78,18,5639.38,51
2020,43,KNDS 11,"Frank Haun, Co-CEO, and Stephane Mayer, Co-CEO",Netherlands,2798.45,2597.89,8,2798.45,100
2020,44,Rafael Advanced Defense Systems Ltd.,"Yoav Har-Even, President and CEO",Israel,2746.65,2592,6,2746.65,100
2020,45,Hindustan Aeronautics Ltd.,"Rajagopalan Madhavan, Chairman and Managing Director",India,2710,2754.6,-2,3010,90
2020,46,Amentum 12,"John Vollmer, CEO",U.S.,2700,2200,23,4100,66
2020,47,Bechtel,"Brendan Bechtel, Chairman and CEO",U.S.,2303,3745,-39,21800,11
2020,48,Aselsan A.S.,"Haluk Gorgun, Chairman, President and CEO",Turkey,2172.57,1792.63,21,2290.61,95
2020,50,Oshkosh Defense,"John Bryant, Executive Vice President, Oshkosh Corporation; President, Oshkosh Defense",U.S.,2032,1828.9,11,8382,24
2020,51,"Aerojet Rocketdyne Holdings, Inc.","Eileen Drake, CEO and President",U.S.,1982,1895.9,5,1982,100
2020,52,TransDigm 1,"Kevin Stein, President, CEO and Director",U.S.,1932.59,1333.89,45,5223.2,37
2020,53,Turkish Aerospace Industries 14,"Temel Kotil, President and CEO",Turkey,1858.35,1307.65,42,2266.79,82
2020,54,Cobham 15,"Shonnel Malani, Chairman *",U.K.,1787.4,1588.37,13,2628.76,68
2020,55,Korea Aerospace Industries Ltd.,"Ahn Hyun-ho, President and CEO *",South Korea,1740.87,1694.35,3,2667.2,65
2020,57,ST Engineering 16,"Vincent Chong, President and CEO",Singapore,1685.8,1556.58,8,5790.36,29
2020,58,Fincantieri S.p.A.,"Giuseppe Bono, CEO",Italy,1682.74,1693.51,-1,6547.5,26
2020,59,Sierra Nevada Corp.,"Eren Ozmen, Chairwoman, President and Owner, and Fatih Ozmen, CEO and Owner",U.S.,1591,1500,6,1989,80
2020,60,Serco,"Rupert Soames, CEO",U.K.,1493.76,1264.02,18,4146.78,36
2020,61,Bharat Electronics Ltd.,"M V Gowtama, Chairman and Managing Director",India,1390,1144.94,21,1780,78
2020,62,Melrose Industries 17,"Simon Peckham, Chief Executive",U.K.,1376.3,1366.4,1,14799.7,9
2020,63,Vectrus,"Chuck Prow, President and CEO",U.S.,1367.63,1232.74,11,1382.64,99
2020,64,Austal,"David Singleton, CEO",Australia,1289.64,1055.14,22,1324.47,97
2020,65,QinetiQ Plc,"Steve Wadey, CEO",U.K.,1274.16,1118.8,14,1369.92,93
2020,66,Ball Corporation,"John A. Hayes, Chairman, President and CEO *",U.S.,1256,934,34,11500,11
2020,67,Hensoldt,"Thomas Mueller, CEO",Germany,1247.17,1310.89,-5,1247.17,100
2020,68,LIG Nex1,"Kim Ji Chan, President and CEO",South Korea,1246.42,1341.23,-7,1246.42,100
2020,69,Viasat 18,"Mark Dankberg, Chairman of the Board and CEO",U.S.,1138.1,955.6,19,2300,49
2020,70,PAE,"John Heller, President and CEO",U.S.,1082,980,10,2764,39
2020,71,Moog Inc.,"John R. Scannell, CEO",U.S.,1081.43,925.02,17,2904.66,37
2020,72,Curtiss-Wright Corporation,"David C. Adams, Chairman and CEO",U.S.,1079.05,960.6,12,2487.96,43
2020,73,Meggitt,"Tony Wood, CEO",U.K.,1052.01,975.98,8,2905.81,36
2020,74,CAE,"Marc Parent, President and CEO",Canada,1001.08,995.33,1,2724.55,37
2020,75,Ultra Electronics,"Simon Pryce, CEO",U.K.,906.26,890.29,2,1053.8,86
2020,76,Ruag 1 19,"Urs Kiener, CEO ad int. and Chief Financial Officer *",Switzerland,886.86,898.65,-1,2015.59,44
2020,77,Kongsberg 20,"Geir Haoy, President and CEO",Norway,823.43,750,10,2736.93,30
2020,78,Day & Zimmermann,"Hal Yoh, Chair and CEO",U.S.,821.1,773.77,6,2457,33
2020,79,Embraer,"Francisco Gomes Neto, President and CEO",Brazil,775,728,6,5463,14
2020,80,Teledyne Technologies,"Robert Mehrabian, Executive Chairman, and Aldo Pichelli, President and CEO",U.S.,759.8,655.3,16,3163.6,24
2020,81,AAR Corp.,"John M. Holmes, President and CEO",U.S.,739.79,493.72,50,2051.8,36
2020,82,Cubic Corporation,"Bradley H. Feldmann, Chairman, President and CEO",U.S.,646.7,532.18,22,1496,43
2020,83,Indra,"Fernando Abril-Martorell, Chairman and CEO, and Ignacio Mataix, Executive Director, Indra; Senior Vice President, Transport & Defense business",Spain,633.57,732.13,-13,3586.5,18
2020,84,Peraton,"Stu Shea, Chairman, President and CEO",U.S.,631.29,638.27,-1,1029.69,61
2020,85,Mercury Systems,"Mark Aslett, President and CEO",U.S.,622.59,473.46,31,654.74,95
2020,86,Diehl Group,"Karl Tragl, CEO",Germany,577.6,547.92,5,4062.23,14
2020,87,Battelle,"Lewis Von Thaer, President and CEO",U.S.,560,440,27,8200,7
2020,88,John Cockerill Defense,"Thierry Renaudin, President",Belgium,548.16,595.15,-8,548.16,100
2020,89,BMC Otomotiv Sanayi ve Ticaret A.S.,"Bulent Denkdemir, CEO",Turkey,533.56,554.18,-4,676.59,79
2020,90,Patria 1 21,"Esa Rautalinko, President and CEO",Finland,522.64,524,0,568.09,92
2020,91,Roketsan A.S,"Selcuk Yasar, President and CEO",Turkey,515.18,522.76,-1,515.18,100
2020,92,STM Savunma Teknolojileri Muhendislik ve Ticaret A.S.,"Murat Ikinci, General Manager",Turkey,485.08,564.83,-14,503.73,96
2020,93,DLT Solutions,"Chris Wilkinson, President",U.S.,468.7,437.39,7,1241.09,38
2020,94,Nammo 1 22,"Morten Brandtzaeg, President and CEO",Norway,461.26,487.67,-5,576.57,80
2020,95,Hyundai Rotem Company 23,"Yong-Bae Lee, CEO *",South Korea,449.82,459.95,-2,2040,22
2020,96,Chemring,"Michael Ord, Group Chief Executive",U.K.,385.17,336.9,14,427.96,90
2020,97,Allegheny Technologies Inc.,"Robert S. Wetherbee, President and CEO",U.S.,377.1,277.1,36,4122.5,9
2020,98,FNSS Savunma Sistemleri A.S.,"Nail Kurt, General Manager and CEO",Turkey,374.94,367.54,2,374.94,100
2020,99,Havelsan A.S.,"Ahmet Hamdi Atalay, General Manager and CEO",Turkey,295.61,278.6,6,342.27,86
2020,100,Telephonics Corporation,"Kevin McSweeney, President",U.S.,295.51,288.11,3,2209.29,13
2019,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",U.S.,50536,47985,5,53762,94
2019,2,Boeing 2,"Dennis Muilenburg, Chairman, President and CEO",U.S.,34050,20561,66,101127,34
2019,3,Northrop Grumman,"Kathy J. Warden, CEO and President *",U.S.,25300,21700,17,30095,84
2019,4,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",U.S.,25163.94,23573.64,7,27058,93
2019,5,Aviation Industry Corporation of China,"Tan Ruisong, Chairman of the Board, and Luo Ronghuai, President",China,24902.01,22898.73,9,66405.36,38
2019,6,General Dynamics,"Phebe Novakovic, Chairman and CEO",U.S.,24055,19587,23,36200,66
2019,7,BAE Systems 3,"Charles Woodburn,CEO",U.K.,22477.48,22380.04,0,24569.06,91
2019,8,China North Industries Group Corporation Limited,"Jiao Kaihe, Chairman, and Liu Dashan, President",China,14777.77,14206.36,4,68100.3,22
2019,9,Airbus 4,"Guillaume Faury, CEO *",Netherlands/France,13063.82,11185.91,17,75220.59,17
2019,10,China Aerospace Science and Industry Corporation,"Gao Hongwei, Chairman of the Board, and Liu Shiquan, General Manager",China,12130.93,11206.28,8,37909.17,32
2019,11,China South Industries Group Corporation,"Xu Ping, CEO, and Gong Yande, Director and General Manager",China,11963.37,14121.77,-15,38591.53,31
2019,12,China Electronics Technology Group,"Xiong Qunli, Chairman",China,10275.58,9518.91,8,33354.01,31
2019,13,Leonardo,"Alessandro Profumo, CEO",Italy,9828.51,8856.48,11,14453.69,68
2019,14,China Shipbuilding Industry Corporation,"Hu Wenming, Chairman of the Board, and Wu Yongjie, President",China,9795.47,9337.91,5,48977.36,20
2019,15,Almaz-Antey,"Yan Novikov, CEO",Russia,9660.14,9125.02,6,9896.67,98
2019,16,Thales 1,"Patrice Caine, Chairman and CEO",France,9575.57,8926.13,7,18775.63,51
2019,17,"United Technologies 1, 5","Gregory Hayes, Chairman and CEO",U.S.,9310,7826,19,66500,14
2019,18,L3 Technologies 6,"Bill Brown, Chairman, President and CEO",U.S.,8249,7749,6,10200,81
2019,19,China Aerospace Science and Technology Corporation,"Wu Yansheng, Chairman of the Board, and Yuan Jie, Executive Director and President",China,8138.47,7514.73,8,38030.23,21
2019,20,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",U.S.,7767,7030,10,8176,95
2019,21,Leidos,"Roger Krone, Chairman and CEO",U.S.,5378,5218,3,10194,53
2019,22,China State Shipbuilding Corporation,"Lei Fan Pei, Chairman, and Yang Jin Cheng, General Manager",China,4954.07,4842.69,2,30962.94,16
2019,23,Booz Allen Hamilton,"Horacio D. Rozanski, President and CEO",U.S.,4700,4320,9,6704.04,70
2019,24,Rolls-Royce,"Warren East, CEO",U.K.,4682.36,4625.73,1,20110.93,23
2019,25,Honeywell 7,"Darius Adamczyk, Chairman and CEO",U.S.,4665,4100,14,41802,11
2019,26,Harris Corporation 6,"Bill Brown, Chairman, President and CEO",U.S.,4601.6,4158,11,6391.1,72
2019,27,Hanwha,"Seung Youn Kim, Chairman and CEO",South Korea,4281.48,3895.27,10,44304.8,10
2019,28,Naval Group,"Hervé Guillou, CEO",France,4260.53,4178.33,2,4260.53,100
2019,29,GE Aviation,"David Joyce, GE Vice Chairman; President and CEO of GE Aviation",U.S.,4100,3991,3,30566,13
2019,30,Rheinmetall AG,"Armin Papperger, CEO",Germany,3803.54,3430.35,11,7259.91,52
2019,31,Bechtel,"Brendan Bechtel, Chairman and CEO",U.S.,3745,3576,5,25500,15
2019,32,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,3591.46,3573.95,0,3664.35,98
2019,33,AECOM,"Michael Burke, Chairman and CEO",U.S.,3500,3197.78,9,20200,17
2019,34,Textron Inc.,"Scott C. Donnelly, Chairman and CEO",U.S.,3350,4117.42,-19,13972,24
2019,35,Elbit Systems Ltd. 1,"Bezhalel Machlis, President and CEO",Israel,3326.65,3377.83,-2,3684,90
2019,36,Saab AB,"Håkan Buskhe, President and CEO",Sweden,3243.68,3090.07,5,3816.09,85
2019,37,CACI International Inc.,"Ken Asbury, President and CEO",U.S.,3032.75,2829.31,7,4467.86,68
2019,38,Dassault,"Eric Trappier, Chairman and CEO",France,2934.43,2124.19,38,6003.48,49
2019,39,Babcock International 1,"Archie Bethel, Chief Executive",U.K.,2909.79,3341.03,-13,6206.67,47
2019,40,Perspecta Inc.,"Mac Curtis, President and CEO",U.S.,2817.7,2731.95,3,4274.27,66
2019,41,Jacobs,"Steve Demetriou, Chair and CEO",U.S.,2800,2600,8,14984.65,19
2019,42,SAIC 8,"Nazzic Keene, CEO-elect *",U.S.,2795.4,2761.48,1,4659,60
2019,43,Hindustan Aeronautics Ltd.,"Raragopalan Madhavan, Chairman and Managing Director *",India,2754.6,2720,1,2930.43,94
2019,44,Israel Aerospace Industries Ltd.,"Nimrod Sheffer, CEO *",Israel,2647,2469,7,3682,72
2019,45,KNDS 9,"Frank Haun, Co-CEO, and Stephane Mayer, Co-CEO",France,2597.89,2991.95,-13,2597.89,100
2019,46,Rafael Advanced Defense Systems Ltd.,"Yoav Har-Even, President and CEO",Israel,2592,2300.06,13,2592,100
2019,47,KBR,"Stuart Bradie, President and CEO",U.S.,2425.78,1546.67,57,4912.89,49
2019,48,ST Engineering,"Vincent Chong, President and CEO",Singapore,2100,2300,-9,6700,31
2019,49,"Aerojet Rocketdyne Holdings, Inc.","Eileen Drake, CEO and President",U.S.,1895.9,1870.8,1,1895.9,100
2019,50,Oshkosh Defense,"John Bryant, Executive Vice President, Oshkosh Corporation, and President, Oshkosh Defense",U.S.,1828.9,1820.1,0,7710,24
2019,51,DynCorp International,"George Krivo, CEO",U.S.,1803.4,1501.09,20,2148.28,84
2019,52,Aselsan A.S.,"Haluk Görgün, Chairman, President and CEO",Turkey,1792.63,1424.93,26,1917.6,93
2019,53,Fluor,"Alan Boeckmann, Executive Chairman, and Carlos Hernandez, CEO *",U.S.,1748.79,1217.06,44,19166.6,9
2019,54,Korea Aerospace Industries Ltd.,"Kim Jo-Won, President and CEO",South Korea,1694.35,982.28,72,2532.57,67
2019,55,Fincantieri S.p.A.,"Giuseppe Bono, CEO",Italy,1693.51,1369.23,24,6464.02,26
2019,56,Safran,"Philippe Petitcolin, CEO",France,1636.67,1519.7,8,24857.04,7
2019,57,Cobham 1,"David Lockwood, CEO *",U.K.,1588.37,1584.86,0,2482.67,64
2019,59,ManTech International 1,"George Pedersen, Executive Chairman and Chairman of the Board, and Kevin Phillips, President and CEO",U.S.,1450.4,1300,12,1960,74
2019,60,Melrose Industries 10,"Simon Peckham, Chief Executive",U.K.,1366.4,3484.12,-61,12012.9,11
2019,61,LIG Nex1,"Kim Jichan, CEO",South Korea,1341.23,1555.24,-14,1341.23,100
2019,63,Hensoldt,"Thomas Mueller, CEO",Germany,1310.89,1082.89,21,1310.89,100
2019,64,Serco 1,"Rupert Soames, CEO *",U.K.,1264.02,1236.84,2,3777.39,33
2019,65,Vectrus,"Chuck Prow, President and CEO",U.S.,1232.74,1114.79,11,1279.3,96
2019,66,Bharat Electronics Ltd.,"M V Gowtama, Chairman and Managing Director",India,1144.94,1270,-10,1686.82,68
2019,67,QinetiQ Plc,"Steve Wadey, CEO",U.K.,1118.8,850.64,32,1216.11,92
2019,68,Austal,"David Singleton, CEO",Australia,1055.14,969.12,9,1078.78,98
2019,69,Turkish Aerospace Industries ***,"Temel Kotil, President and CEO",Turkey,1050.84,1089.63,-4,1665.66,63
2019,70,CAE,"Marc Parent, President and CEO",Canada,995.33,836.73,19,2518.04,40
2019,71,PAE,"John Heller, CEO",U.S.,980,1127.35,-13,2600,38
2019,72,Meggitt 1,"Tony Wood, CEO*",U.K.,975.98,910.97,7,2776.32,35
2019,73,Curtiss-Wright,"David Adams, Chairman and CEO",U.S.,960.6,862.69,11,2412,40
2019,74,ViaSat 11,"Mark Dankberg, Chairman of the Board and CEO",U.S.,955.6,772.1,24,2100,46
2019,75,Ball Aerospace,"Robert Strain, President",U.S.,934,665.17,40,1197.44,78
2019,76,Moog Inc.,"John R. Scannell, CEO",U.S.,925.02,861.8,7,2709.47,34
2019,77,Ruag,"Urs Breitmeier, CEO Ruag Group and Chairman of the Group Executive Board",Switzerland,898.65,873.83,3,2042.4,44
2019,78,Ultra Electronics,"Simon Pryce, CEO",U.K.,890.29,951.97,-6,1023.37,87
2019,79,Day & Zimmermann,"Hal Yoh, Chair and CEO",U.S.,773.77,617.65,25,2800,28
2019,80,Kongsberg 12,"Geir Håøy, President and CEO",Norway,750,771.33,-3,1766.99,42
2019,81,Indra,"Fernando Abril-Martorell, Chairman and CEO",Spain,732.13,673.41,9,3660.66,20
2019,83,John Cockerill Defense 13,"Thierry Renaudin, President",Belgium,595.15,344.81,73,1531.57,39
2019,84,Embraer,"Francisco Gomes Neto, President and CEO *",Brazil,593.32,951,-38,5071.1,12
2019,85,STM Savunma Teknolojileri Muhendislik ve Ticaret A.S.,"Murat Ikinci, General Manager *",Turkey,564.83,369.96,53,586.58,96
2019,85,BMC Otomotiv Sanayi ve Ticaret A.S. **,"Bülent Denkdemir, CEO",Turkey,554.18,297.98,86,654.99,85
2019,86,Diehl Defence Holding,"Karl Tragl, CEO*",Germany,547.92,515.23,6,4362.09,13
2019,87,Cubic,"Bradley H. Feldmann, Chairman, President and CEO",U.S.,532.18,907.27,-41,1202.9,44
2019,88,Patria 14,"Esa Rautalinko, President and CEO *",Finland,524,486.17,8,556.3,94
2019,89,Roketsan A.S,"Selcuk Yasar, President and CEO",Turkey,522.76,376.08,39,522.76,100
2019,90,AAR,"John M. Holmes, President and CEO",U.S.,493.72,597.6,-17,1748.2,28
2019,91,Nammo 15,"Morten Brandtzæg, President and CEO",Norway,487.67,431.78,13,604.52,81
2019,92,Mercury Systems,"Mark Aslett, President and CEO",U.S.,473.46,392.24,21,493.18,96
2019,93,Hyundai Rotem Company,"Lee Geon-Yong, CEO *",South Korea,459.95,446.87,3,2477.93,19
2019,94,Battelle,"Lewis “Lou” Von Thaer, President and CEO",U.S.,440,450,-2,5100,9
2019,95,Denel,"Monhla Hlahla, Chairperson*",South Africa,377.81,621.23,-39,377.81,100
2019,96,Chemring 1,"Michael Ord, Group Chief Executive",U.K.,336.9,585.51,-42,396.43,85
2019,97,Telephonics Corporation,"Kevin McSweeney, President",U.S.,288.11,366.91,-21,1977.92,15
2018,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",U.S.,47985,43468,10,51048,94
2018,2,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",U.S.,23573.64,22384.17,5,25348,93
2018,3,BAE Systems,"Charles Woodburn, CEO",U.K.,22380.04,23621.84,-5,25288.2,88
2018,4,Northrop Grumman 2,"Wes Bush, Chairman and CEO",U.S.,21700,20200,7,25803,84
2018,5,Boeing 3,"Dennis Muilenburg, President and CEO",U.S.,20561,20180,2,94005,22
2018,6,General Dynamics 4,"Phebe Novakovic, Chairman and CEO",U.S.,19587,19696,-1,30973,63
2018,7,Airbus,"Thomas Enders, CEO",Netherlands/France,11185.91,12321,-9,75702.63,15
2018,8,Almaz-Antey 5,"Yan Novikov, CEO",Russia,9125.02,6581.69,39,9125.02,100
2018,9,Thales,"Patrice Caine, Chairman and CEO",France,8926.13,8362,7,17852.26,50
2018,10,Leonardo,"Alessandro Profumo, CEO",Italy,8856.48,8526.22,4,13024.24,68
2018,11,United Technologies,"Gregory Hayes, Chairman and CEO",U.S.,7826,6888,14,60200,13
2018,12,L3 Technologies 6,"Christopher Kubasik, Chairman, CEO and President",U.S.,7749,7629,2,9573,81
2018,13,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",U.S.,7030,6778.21,4,7400,95
2018,14,United Aircraft Corp. 7,"Yury Slyusar, President, Chairman of the Management Board",Russia,6197.25,5636.84,10,7746.56,80
2018,15,Leidos,"Roger Krone, Chairman and CEO",U.S.,5218,4252,23,10170,51
2018,16,Rolls-Royce,"Warren East, CEO",U.K.,4625.73,4741.15,-2,28582.91,16
2018,17,Booz Allen Hamilton,"Horacio Rozanski, President and CEO",U.S.,4320,4000,8,6171.85,70
2018,18,Naval Group 8,"Hervé Guillou, Chairman and CEO",France,4178.33,3540.9,18,4178.33,100
2018,19,Harris Corporation 9,"Bill Brown, Chairman, President and CEO",U.S.,4158,4213,-1,5979,70
2018,20,Textron Inc.,"Scott Donnelly, Chairman and CEO",U.S.,4117.42,4412.16,-7,14198,29
2018,21,Honeywell,"Darius Adamczyk, Chairman and CEO",U.S.,4100,4375,-6,40534,10
2018,22,GE Aviation,"David Joyce, GE Vice Chairman, President and CEO,",U.S.,3991,3500,14,27013,15
2018,23,Hanwha,"Seung Youn Kim, Chairman and CEO",South Korea,3895.27,4214.97,-8,44507.09,9
2018,25,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,3573.95,2866.24,25,3624.21,99
2018,26,GKN Aerospace 7 11,"Hans Buthker, Chief Executive",U.K.,3484.12,3316.55,5,13400.45,26
2018,27,Rheinmetall,"Armin Papperger, CEO",Germany,3430.35,3270.06,5,6661.83,51
2018,28,Elbit Systems Ltd.,"Bezhalel Machlis, President and CEO",Israel,3377.83,3147.2,7,3377.83,100
2018,29,Babcock International 1,"Mike Turner, Chairman, and Archie Bethel, Chief Executive",U.K.,3341.03,2963.71,13,7108.58,47
2018,30,Orbital ATK 12,"David W. Thompson, CEO",U.S.,3300,2871,15,4760,69
2018,31,AECOM,"Michael Burke, Chairman and CEO",U.S.,3197.78,2939.8,9,18203.4,18
2018,32,Saab,"Håkan Buskhe, President and CEO",Sweden,3090.07,2777.27,11,3678.65,84
2018,33,KNDS 13,"Frank Haun, CEO of KMW, and Stéphane Mayer, Chairman and CEO of the Nexter Group",France,2991.95,2903.84,3,2991.95,100
2018,34,CACI International,"Ken Asbury, President and CEO",U.S.,2829.31,2439.33,16,4354.62,65
2018,35,SAIC 14,"Tony Moraco, CEO",U.S.,2761.48,2581,7,4454,62
2018,36,Russian Helicopters,"Andrey Boginskiy, CEO",Russia,2735.16,2652.01,3,4250.24,64
2018,38,Hindustan Aeronautics,"Shri T. Suvarna Raju, Chairman and Managing Director",India,2720,2518.6,8,2830,96
2018,39,Israel Aerospace Industries,"Joseph Weiss, CEO",Israel,2469,2618,-6,3520,70
2018,40,St Engineering 5,"Vincent Chong, President and CEO",Singapore,2300,2339,-2,6619,35
2018,41,Rockwell Collins 16,"Kelly Ortberg, Chairman, President and CEO",U.S.,2280,2210,3,6820,33
2018,42,Rafael Advanced Defense Systems,"Yoav Har-Even, President and CEO",Israel,2300.06,2354.56,-2,2300.06,100
2018,44,Dassault 19,"Eric Trappier, CEO*",France,2124.19,1356,57,5434.77,39
2018,45,Aerojet Rocketdyne,"Warren Lichtenstein, Executive Chairman, and Eileen Drake, CEO and President",U.S.,1870.8,1761.3,6,1870.8,100
2018,46,Uralvagonzavod 7,"Alexander PotaPov, CEO",Russia,1865,1584.29,18,2626.77,71
2018,47,Oshkosh Defense,"John Bryant, Executive Vice President, Oshkosh Corporation, and President, Oshkosh Defense",U.S.,1820.1,1351.1,35,6830,27
2018,48,"Concern Radio-Electronic Technologies, JSC 7","Nikolay Kolesov, CEO",Russia,1677.48,1365.52,23,1973.5,85
2018,49,Cobham 1,"Michael Wareing, Chairman",U.K.,1584.86,1490.5,6,2641.44,60
2018,51,LIG Nex1,"Kim Jichan, CEO",South Korea,1555.24,1618.1,-4,1555.24,100
2018,52,KBR,"Stuart Bradie, President and CEO",U.S.,1546.67,1532.64,1,4171,37
2018,53,Safran,"Philippe Petitcolin, CEO",France,1519.7,1374.18,11,18666.91,8
2018,54,DynCorp International,"George Krivo, CEO",U.S.,1501.09,1277.64,17,2004.44,75
